facility_code,facility_name,facility_name_short,first_nation_name,day_of_week,day_name,day_name_long,time_band,busyness_score,waiting_count,median_wait_all,median_wait_high_acuity,treatment_spaces,facility_type,open_hours,open_days,alert_active,alert_message,latitude,longitude
49,,,,2,Tue,Tuesday,20,3.0,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,5,0.3,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,8,0.9,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,14,2.5,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,1,0.4,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,18,2.5,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,21,2.0,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,23,0.6,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,4,0.2,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,17,2.0,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,6,0.4,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,12,2.3,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,9,1.3,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,0,0.3,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,16,1.9,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,10,1.9,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,13,2.3,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,15,1.9,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,7,0.8,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,22,1.2,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,19,3.1,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,2,0.2,2,10,-,,,,,,,,
49,,,,2,Tue,Tuesday,3,0.4,2,10,-,,,,,,,,
62,,,,2,Tue,Tuesday,2,1.5,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,22,3.5,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,5,0.9,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,11,3.2,12,21,-,,,,,,,,
62,,,,2,Tue,Tuesday,16,5.5,12,21,-,,,,,,,,
